track,subject,workload_category,treatment,paradigm,rep,kind,ok,error,cold_match,steady_match,cold_match_eff,steady_match_eff,match_source,passed,passed_cold_only,peak_memory_mb,steady_requests,steady_rps,load_ok,cpu_sut_0_7_pct,cpu_loadgen_8_15_pct,steady_j_per_request,steady_subres,total_duration_s,total_energy_sut_j,provisioning_duration_s,provisioning_energy_pkg0_eb_j,provisioning_energy_pkg0_sysfs_j,provisioning_energy_pkg1_j,provisioning_energy_node_j,provisioning_power_pkg0_w,cold_start_duration_s,cold_start_energy_pkg0_eb_j,cold_start_energy_pkg0_sysfs_j,cold_start_energy_pkg1_j,cold_start_energy_node_j,cold_start_power_pkg0_w,steady_state_duration_s,steady_state_energy_pkg0_eb_j,steady_state_energy_pkg0_sysfs_j,steady_state_energy_pkg1_j,steady_state_energy_node_j,steady_state_power_pkg0_w,provisioning_energy_sut_j,cold_start_energy_sut_j,steady_state_energy_sut_j,provisioning_power_sut_w,cold_start_power_sut_w,steady_state_power_sut_w
stack,hotel-reservation,stack,confine,syscall-restriction,0,stack,True,,,,True,True,posthoc,True,True,,49315,1641.5225,True,95.6,10.4,0.03249838584506172,False,34.918369458056986,1731.5701293945312,4.807314571924508,128.9122314453125,129.45187800000002,94.955934,224.40781200000004,26.815851036289725,0.0030024871230125427,,,,,,30.108052399009466,1602.6578979492188,1604.109052,730.9857380000001,2335.09479,53.23020820841753,128.9122314453125,,1602.6578979492188,26.815851036289725,,53.23020820841753
stack,hotel-reservation,stack,confine,syscall-restriction,1,stack,True,,,,True,True,posthoc,True,True,,49371,1643.1392,True,95.7,10.5,0.0326071374868502,False,35.04208316607401,1738.824951171875,4.897972295060754,128.97796630859375,129.925876,92.951239,222.877115,26.332930963831416,0.0023627649061381817,,,,,,30.141748106107116,1609.8469848632812,1611.522547,731.075338,2342.597885,53.409211011789495,128.97796630859375,,1609.8469848632812,26.332930963831416,,53.409211011789495
stack,hotel-reservation,stack,confine,syscall-restriction,10,stack,True,,,,True,True,posthoc,True,True,,49503,1646.8508,True,95.8,10.3,0.03249843729878114,False,35.053191328886896,1737.55712890625,4.902869611978531,128.7869873046875,129.340551,96.041625,225.38217600000002,26.26767536098438,0.002929524052888155,,,,,,30.147392192855477,1608.7701416015625,1610.291044,728.8712419999999,2339.1622859999998,53.363492646731125,128.7869873046875,,1608.7701416015625,26.26767536098438,,53.363492646731125
stack,hotel-reservation,stack,confine,syscall-restriction,11,stack,True,,,,True,True,posthoc,True,True,,49644,1652.4317,True,95.9,10.4,0.032413202657216256,False,35.02881467109546,1738.8299560546875,4.889203578233719,129.70892333984375,130.269137,95.134217,225.403354,26.529663014503193,0.002306930720806122,,,,,,30.137304162140936,1609.1210327148438,1610.481534,729.1480359999999,2339.62957,53.39299839354088,129.70892333984375,,1609.1210327148438,26.529663014503193,,53.39299839354088
stack,hotel-reservation,stack,confine,syscall-restriction,12,stack,True,,,,True,True,posthoc,True,True,,49600,1649.7605,True,95.8,10.5,0.03242742107760522,False,34.95896163303405,1736.0940551757812,4.80645753396675,127.6939697265625,128.63761000000002,95.199036,223.83664600000003,26.567169027118645,0.002728230319917202,,,,,,30.149775868747383,1608.4000854492188,1610.0604540000002,730.705283,2340.765737,53.34699974060013,127.6939697265625,,1608.4000854492188,26.567169027118645,,53.34699974060013
stack,hotel-reservation,stack,confine,syscall-restriction,13,stack,True,,,,True,True,posthoc,True,True,,49445,1645.9801,True,96.0,10.5,0.03253901386444218,False,35.06493287719786,1738.1904907226562,4.934069151990116,129.2989501953125,131.536711,96.932858,228.46956899999998,26.205338071348443,0.0029037022031843662,0.0,,,,0.0,30.12796002300456,1608.8915405273438,1607.360631,730.956686,2338.317317,53.401940898051365,129.2989501953125,0.0,1608.8915405273438,26.205338071348443,0.0,53.401940898051365
stack,hotel-reservation,stack,confine,syscall-restriction,14,stack,True,,,,True,True,posthoc,True,True,,49606,1650.8114,True,96.1,10.5,0.03246402082984228,False,35.092113661114126,1740.8929443359375,4.957548178266734,130.48272705078125,131.13504,96.020262,227.155302,26.32001190080231,0.002276396844536066,,,,,,30.132289086002856,1610.4102172851562,1608.770601,731.993365,2340.763966,53.44466902891984,130.48272705078125,,1610.4102172851562,26.32001190080231,,53.44466902891984
stack,hotel-reservation,stack,confine,syscall-restriction,15,stack,True,,,,True,True,posthoc,True,True,,59940,1994.9025,False,96.1,11.2,0.02684537463081571,False,32.12307907268405,1674.1979370117188,1.9691584408283234,65.086181640625,64.523089,52.002003,116.525092,33.05279061914723,0.0010728612542152405,,,,,,30.15284777060151,1609.1117553710938,1611.014553,739.8651110000001,2350.879664,53.36516695248762,65.086181640625,,1609.1117553710938,33.05279061914723,,53.36516695248762
stack,hotel-reservation,stack,confine,syscall-restriction,16,stack,True,,,,True,True,posthoc,True,True,,49490,1646.894,True,96.1,10.5,0.03251589059974237,False,35.084222842007875,1740.0081787109375,4.950150792021304,130.7967529296875,131.506499,97.26146999999999,228.767969,26.422781532333687,0.002742778044193983,,,,,,30.131329271942377,1609.21142578125,1607.646153,728.733241,2336.379394,53.40658592449527,130.7967529296875,,1609.21142578125,26.422781532333687,,53.40658592449527
stack,hotel-reservation,stack,confine,syscall-restriction,17,stack,True,,,,True,True,posthoc,True,True,,49525,1648.3964,True,95.7,10.4,0.03253189233262872,False,35.01656196126714,1741.1539306640625,4.882082279305905,130.011962890625,130.57657,96.257261,226.833831,26.63043255983573,0.0027852249331772327,,,,,,30.13169445702806,1611.1419677734375,1612.5683809999998,730.32241,2342.890791,53.470008799908264,130.011962890625,,1611.1419677734375,26.63043255983573,,53.470008799908264
stack,hotel-reservation,stack,confine,syscall-restriction,18,stack,True,,,,True,True,posthoc,True,True,,73221,2435.4809,False,96.1,11.6,0.021958526329163168,False,32.11055697966367,1673.0845336914062,1.9345627427101135,65.25927734375,64.990556,53.650985,118.64154099999999,33.73334754308811,0.0011562579311430454,,,,,,30.174837979022413,1607.8252563476562,1609.512665,748.956029,2358.468694,53.28364173704656,65.25927734375,,1607.8252563476562,33.73334754308811,,53.28364173704656
stack,hotel-reservation,stack,confine,syscall-restriction,19,stack,True,,,,True,True,posthoc,True,True,,49524,1648.0557,True,95.9,10.4,0.032492027963635685,False,35.17004077602178,1740.5513305664062,5.020043917000294,131.4161376953125,132.124356,97.814142,229.938498,26.178284466849778,0.0026580695994198322,,,,,,30.147338789422065,1609.1351928710938,1610.635647,736.617744,2347.253391,53.375696080865964,131.4161376953125,,1609.1351928710938,26.178284466849778,,53.375696080865964
stack,hotel-reservation,stack,confine,syscall-restriction,2,stack,True,,,,True,True,posthoc,True,True,,49542,1649.9018,True,96.0,10.4,0.03244062536663967,False,34.83862819802016,1733.435791015625,4.720944870728999,126.2623291015625,126.83359800000001,93.714787,220.548385,26.745139491973205,0.002805698197335005,,,,,,30.114877629093826,1607.1734619140625,1608.5474570000001,736.845831,2345.393288,53.36808874698467,126.2623291015625,,1607.1734619140625,26.745139491973205,,53.36808874698467
stack,hotel-reservation,stack,confine,syscall-restriction,3,stack,True,,,,True,True,posthoc,True,True,,49413,1644.2231,True,95.9,10.4,0.03253547724504432,False,35.100932627916336,1739.0337524414062,4.958751750644296,131.35821533203125,132.113981,96.68279700000001,228.79677800000002,26.49017775793348,0.0025863670744001865,,,,,,30.13959451019764,1607.675537109375,1606.018227,726.829682,2332.847909,53.34098096659605,131.35821533203125,,1607.675537109375,26.49017775793348,,53.34098096659605
stack,hotel-reservation,stack,confine,syscall-restriction,4,stack,True,,,,True,True,posthoc,True,True,,49667,1652.4854,True,95.6,10.4,0.032436644507498065,False,35.10403816495091,1741.3561401367188,4.951679643243551,130.3253173828125,132.71688400000002,96.60979900000001,229.32668300000003,26.319416192571804,0.0024611358530819416,,,,,,30.149897385854274,1611.0308227539062,1605.498149,730.036828,2335.5349770000003,53.43403999476859,130.3253173828125,,1611.0308227539062,26.319416192571804,,53.43403999476859
stack,hotel-reservation,stack,confine,syscall-restriction,5,stack,True,,,,True,True,posthoc,True,True,,49262,1639.7035,True,95.8,10.2,0.03258198182914188,False,34.91346986172721,1732.2352905273438,4.7714134198613465,127.18170166015625,127.704202,94.839967,222.544169,26.654932295481544,0.0029248311184346676,,,,,,30.139131610747427,1605.0535888671875,1606.321267,738.815552,2345.1368190000003,53.254805400393,127.18170166015625,,1605.0535888671875,26.654932295481544,,53.254805400393
